,Día de la semana,Electricidad (kW),Fotovoltaica (kW),Refrigeración (kW),Calefacción (kWh),Energía total (kWh),Temperatura (°C),Punto de rocío (°C),Humedad (%),Velocidad del viento (m/s),Presión (hPa),Ráfaga de viento (m/s)
2014-01-01,2,490049.27999999997,62795.469999999994,243369.71769999998,20107.601310000002,753526.59901,13.402777777777777,-6.9907407407407405,41.625,1.4342533333333334,977.9188822083333,0.0
2014-01-02,3,556486.56,64284.0,323886.05169,23987.861350000003,904360.47304,15.023148148148147,-2.013888888888889,38.75,1.4901333333333333,977.5802432083333,0.0
2014-01-03,4,545831.45,67187.06,337004.60237,22112.20695,904948.25932,15.763888888888888,-3.3564814814814814,33.875,1.0803466666666666,973.5589050833333,0.0
2014-01-04,5,511495.56,46798.28,252493.06188999998,21074.73561,785063.3575,13.495370370370368,1.9444444444444444,47.375,1.8626666666666667,973.0086167083333,0.0
2014-01-05,6,502806.8,70162.87,249265.37031,22777.47812,774849.64843,11.99074074074074,-4.328703703703703,37.75,1.0430933333333334,978.328071,0.0
2014-01-06,0,543968.35,71666.6,285299.00483,27314.217200000003,856581.57203,12.268518518518519,-11.13425925925926,23.541666666666668,1.7136533333333333,981.502811625,0.0
2014-01-07,1,562002.91,52517.04,274781.34599,23633.245440000002,860417.50143,13.402777777777779,-7.5,25.875,1.3783733333333335,977.5520232916666,0.0
2014-01-08,2,557214.72,66145.06,265609.15067,24020.09916,846843.96983,13.263888888888888,-4.236111111111112,32.5,1.56464,976.0563677083334,0.0
2014-01-09,3,563161.1,50888.52,243592.3438,23108.648350000003,829862.09215,12.430555555555555,-3.4953703703703702,35.125,1.7695333333333334,975.1180554791666,0.0
2014-01-10,4,520356.52999999997,62773.62,235918.63667,22238.22748,778513.39415,12.106481481481481,-2.3379629629629632,39.125,1.8254133333333333,976.8747452916667,0.0
2014-01-11,5,452868.57,63534.39,259955.538,19981.58078,732805.68878,13.263888888888888,-3.935185185185185,40.708333333333336,1.6018933333333336,978.455060625,0.0
2014-01-12,6,454181.21,56568.2,248751.22008,19899.520900000003,722831.95098,13.194444444444445,-1.388888888888889,45.166666666666664,2.3097066666666666,975.830608375,0.0
2014-01-13,0,532264.77,70130.9,294574.52961,22443.377180000003,849282.67679,13.310185185185185,-4.953703703703703,36.291666666666664,1.3038666666666667,982.8855875416666,0.0
2014-01-14,1,531612.79,69951.99,301515.32911,23135.02474,856263.14385,13.657407407407407,-4.282407407407407,32.166666666666664,1.6577733333333333,983.2524464583333,0.0
