,Día de la semana,Electricidad (kW),Fotovoltaica (kW),Refrigeración (kW),Calefacción (kWh),Energía total (kWh),Emisión (kg CO₂)
2014-01-01,2,490049.27999999997,62795.469999999994,243369.71769999998,20107.601310000002,753526.59901,469960.0
2014-01-02,3,556486.56,64284.0,323886.05169,23987.861350000003,904360.47304,564020.0
2014-01-03,4,545831.45,67187.06,337004.60237,22112.20695,904948.25932,564390.0
2014-01-04,5,511495.56,46798.28,252493.06188999998,21074.73561,785063.3575,489640.0
2014-01-05,6,502806.8,70162.87,249265.37031,22777.47812,774849.64843,483270.0
2014-01-06,0,543968.35,71666.6,285299.00483,27314.217200000003,856581.57203,534210.0
2014-01-07,1,562002.91,52517.04,274781.34599,23633.245440000002,860417.50143,536630.0
2014-01-08,2,557214.72,66145.06,265609.15067,24020.09916,846843.96983,528160.0
2014-01-09,3,563161.1,50888.52,243592.3438,23108.648350000003,829862.09215,517550.0
2014-01-10,4,520356.52999999997,62773.62,235918.63667,22238.22748,778513.39415,485540.0
2014-01-11,5,452868.57,63534.39,259955.538,19981.58078,732805.68878,457030.0
2014-01-12,6,454181.21,56568.2,248751.22008,19899.520900000003,722831.95098,450820.0
2014-01-13,0,532264.77,70130.9,294574.52961,22443.377180000003,849282.67679,529680.0
2014-01-14,1,531612.79,69951.99,301515.32911,23135.02474,856263.14385,534040.0
2014-01-15,2,527641.15,71753.57,355247.70341,19832.11457,902720.96798,563000.0
2014-01-16,3,538823.08,71756.18,351254.22025,20421.187280000002,910498.48753,567850.0
2014-01-17,4,524548.48,73169.43000000001,376231.25085,19207.873340000002,919987.60419,573750.0
2014-01-18,5,475252.19,71778.87,352711.94641,18762.405420000003,846726.54183,528070.0
2014-01-19,6,462119.24,47346.33,333381.10761,18469.334420000003,813969.68203,507630.0
2014-01-20,0,484118.27,71741.57,316552.89567,20031.402850000002,820702.56852,511830.0
2014-01-21,1,529940.84,69975.09999999999,380635.20308,18155.748450000003,928731.79153,579220.0
2014-01-22,2,534387.82,71463.12,409469.99581,16110.112870000003,959967.92868,598720.0
2014-01-23,3,535259.09,70883.74,355372.8031,18548.463590000003,909180.35669,567030.0
2014-01-24,4,519143.58999999997,41132.88,372976.86524,17021.56368,909142.0189200001,566970.0
2014-01-25,5,471229.45,69239.0,383146.51693,15471.218090000002,869847.18502,542500.0
2014-01-26,6,466885.76,76325.56,336451.55412,17185.68344,820522.99756,511750.0
2014-01-27,0,534384.0,71552.37999999999,371526.0324,16757.79978,922667.83218,575430.0
2014-01-28,1,539315.06,74181.85,341932.83379,18457.61158,899705.50537,561120.0
2014-01-29,2,537589.36,74057.65,342029.76231,17959.390880000003,897578.51319,559830.0
2014-01-30,3,533899.65,63838.35,386776.76433,16230.271980000001,936906.68631,584320.0
2014-01-31,4,521007.13,34302.57,367028.59831,16675.7399,904711.46821,564200.0
2014-02-01,5,473465.78,68275.06999999999,289630.26067,18917.733050000003,782013.7737199999,487730.0
2014-02-02,6,461730.68,78534.66,254685.94656,20605.82201,737022.44857,459650.0
2014-02-03,0,536998.35,37603.979999999996,256509.37038,21819.13595,815326.85633,508510.0
2014-02-04,1,506773.85000000003,70007.68000000001,236655.852625,22480.011055000003,765909.71368,475595.0
2014-02-05,2,563025.3,43962.38,260541.50537,21637.431930000002,845204.2373,527130.0
2014-02-06,3,619783.78,29253.43,225608.30498000002,21191.96401,866584.04899,540500.0
2014-02-07,4,588759.17,73075.46,274199.77487,35575.88869000001,898534.83356,560400.0
2014-02-08,5,550654.75,81153.86,284365.59303,94553.49673,929573.83976,579720.0
2014-02-09,6,515737.86,84841.59,309851.81489,96607.92444,922197.59933,575140.0
2014-02-10,0,573741.96,78807.15,358150.49453,93231.74652,1025124.20105,639340.0
2014-02-11,1,603551.35,82768.08,392648.53651,84782.50959,1080982.3961,674180.0
2014-02-12,2,606378.92,83869.06,391610.52913,63953.95362000001,1061943.40275,662300.0
2014-02-13,3,610911.03,85486.41,419120.22177,48236.55589,1078267.80766,672480.0
2014-02-14,4,590465.86,83559.34,448390.24325,90834.42574,1129690.52899,704540.0
2014-02-15,5,541998.89,84673.01,438303.45208,84615.45912000001,1064917.8012,664150.0
2014-02-16,6,510099.48,70741.68,438584.46038,85550.35561000001,1034234.29599,644990.0
2014-02-17,0,549178.96,89492.57,491491.71131000004,86769.53097,1127440.20228,703120.0
2014-02-18,1,557832.33,82113.83,505245.01015,85245.56177000001,1148322.90192,716120.0
2014-02-19,2,556231.6,68619.85,461258.03183,83226.30258,1100715.93441,686460.0
2014-02-20,3,556052.23,92514.44,433121.22292,98128.96293000001,1087302.41585,678090.0
2014-02-21,4,539086.94,75119.74,383962.28508,96780.83633,1019830.0614100001,636030.0
2014-02-22,5,486365.97000000003,78824.33,376918.12095,107217.09464000001,970501.18559,605250.0
2014-02-23,6,473311.54,71082.82,391982.48705,95283.24352,960577.27057,599070.0
2014-02-24,0,564926.78,81633.64,447714.55721,92481.48476,1105122.8219700002,689210.0
2014-02-25,1,582404.52,39900.53,439080.07602,88821.02797000001,1110305.62399,692450.0
2014-02-26,2,585274.83,85151.07,468413.54417999997,82997.7072,1136686.08138,708910.0
2014-02-27,3,582272.1,84133.6,465332.96871,82358.81242,1129963.88113,704690.0
2014-02-28,4,570840.47,73633.8,473186.85175,76007.96385,1120035.2856,698480.0
2014-03-01,5,556919.39,36217.95,415822.26052999997,103943.49157000001,1076685.1421,671440.0
2014-03-02,6,525920.42,73251.05,323016.29759,94301.45567000001,943238.17326,588240.0
2014-03-03,0,571778.06,102430.99,395916.81427,84712.17255,1052407.04682,656350.0
2014-03-04,1,595818.15,84225.29,429755.77045,80125.61140000001,1105699.53185,689560.0
2014-03-05,2,594040.62,106325.02,471762.81845,79589.29147000001,1145392.72992,714340.0
2014-03-06,3,594790.26,59947.8,472845.59724,82024.71148000001,1149660.56872,716990.0
2014-03-07,4,568745.245,108304.54,466393.010095,86543.86630000001,1121682.121395,699535.0
2014-03-08,5,522105.43,114411.87,470154.45918,81374.09386000001,1073633.98304,669560.0
2014-03-09,6,492839.33,118019.83,439810.90862,87264.82096000001,1019915.05958,636060.0
2014-03-10,0,522480.02999999997,114575.52,467209.28821,85608.96981000001,1075298.28802,670620.0
2014-03-11,1,544919.96,113121.56,461959.7085,87282.40522,1094162.07372,682370.0
2014-03-12,2,544714.09,107565.92,478783.80555,93838.40349000001,1117336.29904,696820.0
2014-03-13,3,548307.02,83044.54000000001,502470.6247,76884.24614,1127661.89084,703280.0
2014-03-14,4,534787.86,92644.89,477211.42519,77742.94417,1089742.22936,679640.0
2014-03-15,5,506740.51,119789.95,465998.17409,83490.06648000001,1056228.75057,658710.0
2014-03-16,6,497232.64,120147.68,470216.60457,98524.60878000001,1065973.85335,664780.0
2014-03-17,0,560580.91,120127.1,520885.07398,92197.20589000001,1173663.18987,731950.0
2014-03-18,1,591848.92,120240.01,536641.48017,86420.77648,1214911.17665,757680.0
2014-03-19,2,592691.53,118440.3,497265.25368,105804.49242000001,1195761.2761,747840.0
2014-03-20,3,594169.83,95393.83,505052.73576,88489.85774,1187712.4235,740730.0
2014-03-21,4,584274.84,119220.95,520434.47594,90113.47108,1194822.78702,745130.0
2014-03-22,5,545576.25,109911.29,485671.35767,83745.03825000001,1114992.64592,695360.0
2014-03-23,6,524693.97,110319.46,504734.5176,76520.83810000001,1105949.3257,689690.0
2014-03-24,0,588920.3,111752.45,577854.0027,72784.18285,1239558.48555,773030.0
2014-03-25,1,588148.21,105344.5,596458.51066,67541.14266000001,1252147.86332,780870.0
2014-03-26,2,601453.0994117646,108598.11352941177,554640.3007341176,72851.76157470589,1228945.1617205883,766397.6470588235
2014-03-27,3,620915.2305882353,180411.78647058824,539207.8247258824,58936.40570529412,1219059.4610194117,760282.3529411765
2014-03-28,4,592408.22,113830.57,488279.28351,79855.98608,1160543.48959,723790.0
2014-03-29,5,529527.11,118454.41,507077.12096,70205.15805,1106809.38901,690250.0
2014-03-30,6,536622.19,73310.52,486594.99221,70838.19141,1094055.37362,682300.0
2014-03-31,0,581707.1,123469.37,529466.55398,83035.80643000001,1194209.46041,744770.0
2014-04-01,1,611974.43,127749.83,514248.60049,87724.94243000001,1213947.97292,757080.0
2014-04-02,2,610209.66,109620.11,391152.79158,108916.90644,1110279.35802,692430.0
2014-04-03,3,614238.96,142382.5,376860.86419,86373.88512,1077473.70931,672000.0
2014-04-04,4,597491.23,127728.76,428663.9178,86546.79701000001,1112701.94481,693940.0
2014-04-05,5,527890.6,139382.23,434731.4462,76723.05709,1039345.10329,648200.0
2014-04-06,6,552682.81,138888.13,443915.63448999997,78628.01859,1075226.46308,670550.0
2014-04-07,0,631151.18,138877.83,557097.61829,74712.59003,1262961.38832,787680.0
2014-04-08,1,656087.65,132855.6,640296.3330100001,61465.78083,1357849.7638400001,846820.0
2014-04-09,2,658168.49,116609.31,675326.35641,55894.50112,1389389.34753,866480.0
2014-04-10,3,657070.68,129441.13,729746.12836,63915.85439000001,1450732.66275,904720.0
2014-04-11,4,641594.61,116368.38,741353.45931,52134.40019,1435082.4695000001,894960.0
2014-04-12,5,563944.35,120217.06999999999,644001.77387,56193.433540000005,1264139.55741,788360.0
2014-04-13,6,537072.25,132875.64,587075.50636,67705.26242,1191853.01878,743290.0
2014-04-14,0,585643.15,144400.69,638326.7075,76450.50106000001,1300420.35856,811010.0
2014-04-15,1,601949.09,129036.27,669302.29813,69276.12298,1340527.51111,836020.0
2014-04-16,2,615682.7,136511.98,676158.16208,66867.07936,1358707.94144,847350.0
2014-04-17,3,615425.39,131202.82,718988.71563,54373.46263,1388787.56826,866120.0
2014-04-18,4,577290.34,46278.4,655899.43317,50645.59951,1283835.37268,800670.0
2014-04-19,5,538957.79,122199.04000000001,605382.86299,52738.12645,1197078.77944,746530.0
2014-04-20,6,505009.45999999996,131194.44,623564.52204,48506.18121,1177080.16325,734050.0
2014-04-21,0,591150.29,127815.57,771630.29238,45261.88524,1408042.46762,878090.0
2014-04-22,1,550735.89,109330.42,783874.34101,44151.14615,1378761.37716,859820.0
2014-04-23,2,529587.02,141851.37,691173.29018,54036.430980000005,1274796.74116,795010.0
2014-04-24,3,526425.62,131911.16,679375.75987,63710.704690000006,1269512.08456,791690.0
2014-04-25,4,513862.99,125856.14,685453.31172,53482.52679,1252798.8285100001,781290.0
2014-04-26,5,464574.57,97918.72,491269.12038,83290.7782,1039134.46858,648010.0
2014-04-27,6,443116.63,142820.1,457337.87812,67980.74916,968435.25728,603980.0
2014-04-28,0,507391.69,145279.51,615422.70221,65073.484840000005,1187887.87705,740820.0
2014-04-29,1,518731.8,157000.53,632757.99521,68745.66447,1220235.45968,760980.0
2014-04-30,2,521607.22,155157.74,638867.44625,78795.06906000001,1239269.73531,772830.0
2014-05-01,3,524560.37,143654.56,705317.92561,65565.84412000001,1295444.13973,807880.0
2014-05-02,4,520253.38,137713.47,751129.17183,55671.76716,1327054.31899,827590.0
2014-05-03,5,488067.02999999997,130189.49,750662.64178,49514.34545,1288244.0172299999,803360.0
2014-05-04,6,475561.39,133576.91999999998,766035.3081,47791.08797,1289387.78607,804090.0
2014-05-05,0,519294.2,130549.92,816764.48093,50598.708150000006,1386657.38908,864760.0
2014-05-06,1,515025.17,118142.78,668245.29895,57318.826180000004,1240589.29513,773640.0
2014-05-07,2,496978.72,130538.23999999999,524888.08821,74689.14435,1096555.95256,683870.0
2014-05-08,3,492835.48,142197.31,591569.03658,59481.690160000006,1143886.20674,713400.0
2014-05-09,4,490116.17,121830.6,642994.4699,51574.634580000005,1184685.27448,738820.0
2014-05-10,5,455517.58,138627.07,673644.70286,48611.68677000001,1177773.96963,734500.0
2014-05-11,6,430181.21,140434.85,565036.2962,61952.27869000001,1057169.78489,659280.0
2014-05-12,0,476303.09,149885.52,662759.51752,72054.43606,1211117.04358,755280.0
2014-05-13,1,485929.5,154085.4,679535.18548,61184.43267,1226649.11815,764980.0
2014-05-14,2,493380.26,149952.33,728526.78446,58365.08965,1280272.13411,798410.0
2014-05-15,3,542155.61,135732.04,793947.69724,44435.42502,1380538.73226,860960.0
2014-05-16,4,599992.56,134618.95,854231.78533,41402.140170000006,1495626.4855,932700.0
2014-05-17,5,579526.82,131075.68,810607.40971,40845.305270000004,1430979.53498,892410.0
2014-05-18,6,536862.15,113947.55,760081.62499,42902.66369,1339846.43868,835540.0
2014-05-19,0,587513.64,139119.44,870721.09915,44986.3985,1503221.13765,937460.0
2014-05-20,1,603195.8200000001,131691.7,816663.5782,43298.30954,1463157.70774,912480.0
2014-05-21,2,580289.02,141877.21,731622.09616,47193.223130000006,1359104.33929,847600.0
2014-05-22,3,569948.29,139935.23,694737.31247,48444.636300000006,1313130.23877,818920.0
2014-05-23,4,555692.17,134285.05,686576.67669,42471.84932,1284740.69601,801200.0
2014-05-24,5,522886.5,134033.28,633147.88983,40405.69877,1196440.0886,746140.0
2014-05-25,6,512920.44,121915.95999999999,710059.86154,34221.90067,1257202.20221,784020.0
2014-05-26,0,510621.35,129733.57,764732.47062,32829.813420000006,1308183.63404,815830.0
2014-05-27,1,642583.55,125148.20999999999,957364.22299,33794.01701,1633741.79,1018840.0
2014-05-28,2,630940.37,110253.34,565378.99268,37477.919480000004,1233797.28216,769450.0
2014-05-29,3,626690.39,96724.90000000001,634414.08017,38184.220590000004,1299288.69076,810310.0
